,nodeA,betweenness,eigenvector,nodeB,weight
0,Honey Bunny,0.0,2.083551310976709e-12,Pumpkin,3
1,Brett,0.0,2.0460987940023006e-09,Brett,2
2,Brett,0.0,2.0460987940023006e-09,ta fuck ',2
3,English Dave,0.0,0.0033193989796095292,Mia,2
4,Mia,0.2566666666666667,0.015273692302950595,Vincent,3
5,Mia,0.2566666666666667,0.015273692302950595,Vince,3
6,Mia,0.2566666666666667,0.015273692302950595,Tony Rocky Horror,2
7,Lewis,0.0,2.083551310976709e-12,Martin,2
8,Marsellus,0.0,0.0042900575816150754,Mia,2
9,Marsellus,0.0,0.0042900575816150754,Tony Rocky Horror,2
10,Anwan,0.0,0.0009706586020055467,Tony Rocky Horror,2
11,Jimmie,0.2016666666666667,0.5743897754622851,Jimmie,3
12,Jimmie,0.2016666666666667,0.5743897754622851,Jules,4
13,Jimmie,0.2016666666666667,0.5743897754622851,Julie,2
14,Jimmie,0.2016666666666667,0.5743897754622851,Jimmied,2
15,Jimmie,0.2016666666666667,0.5743897754622851,Wolf,12
16,Jimmie,0.2016666666666667,0.5743897754622851,Windex,2
17,Jimmie,0.2016666666666667,0.5743897754622851,Uncle Conrad,2
18,Jules,0.28,0.23743281472963548,Wolf,3
19,Jules,0.28,0.23743281472963548,Vincent,2
20,Bonnie,0.008333333333333333,0.343426061447329,Jimmie,5
21,Bonnie,0.008333333333333333,0.343426061447329,Bonnie,3
22,Bonnie,0.008333333333333333,0.343426061447329,Julie,3
23,Bonnie,0.008333333333333333,0.343426061447329,Wolf,2
24,Winston,0.0,0.10072568988840963,Wolf,2
25,Uncle Conrad,0.0,0.28809054312880616,Wolf,2
26,Aunt Ginny,0.0,0.28809054312880616,Jimmie,2
27,Aunt Ginny,0.0,0.28809054312880616,Uncle Conrad,3
28,Aunt Ginny,0.0,0.28809054312880616,Wolf,2
29,Jim,0.0,0.10072568988840963,Wolf,2
30,Monster Joe's,0.0,0.10072568988840963,Wolf,2
31,Raquel,0.0,0.10072568988840963,Wolf,3
